"id","env","rating","yield","flower_start","flower_end","flower_average","strch_start","strch_end","growth"
"412","0","4.33","3.33","57","66","62","48","48","0"
"413","1","7.0","6","0","0","0","0","0","0"
"414","0","9.0","7","56","56","56","0","0","0"
"415","1","10.0","9","0","0","0","0","0","0"
"416","0","0.0","0","0","0","0","0","0","0"
"417","0","8.0","8","63","77","70","30","75","150"
"418","0","8.33","8.33","58","63","61","30","77","157"
"419","0","9.0","7.67","59","64","61","35","65","86"
"420","1","10.0","6","0","0","0","0","0","0"
"421","0","10.0","0","0","0","0","0","0","0"
"422","0","8.71","7.83","55","62","59","48","112","133"
"423","1","1.0","2","0","0","0","0","0","0"
"424","0","7.0","7","65","75","70","40","90","125"
"425","0","8.33","9","78","93","85","51","127","149"
"426","1","7.25","6.4","0","0","0","0","0","0"
"427","0","0.0","0","0","0","0","0","0","0"
"428","0","8.5","8","64","72","68","30","90","200"
"429","0","9.0","9","54","62","58","13","59","354"
"430","0","9.0","8","0","0","0","0","0","0"
"431","0","9.0","10","55","61","58","21","64","205"
"432","0","8.0","0","0","0","0","0","0","0"
"433","1","7.0","5","0","0","0","0","0","0"
"434","0","10.0","8","60","70","65","29","81","179"
"435","1","8.0","8","0","0","0","0","0","0"
"436","0","8.0","8","60","60","60","30","100","233"
"437","1","8.0","7","0","0","0","0","0","0"
"438","0","9.0","9","0","0","0","40","120","200"
"439","1","7.0","9","0","0","0","0","0","0"
"440","0","8.0","5","55","65","60","0","0","0"
"441","0","4.0","5","58","58","58","0","0","0"
"442","1","9.0","9","0","0","0","0","0","0"
"443","0","1.0","3","64","70","67","0","0","0"
"444","1","7.0","10","0","0","0","0","0","0"
"445","0","7.0","10","106","134","120","0","0","0"
"446","0","7.0","5","60","80","70","0","0","0"
"447","0","9.0","8","57","63","60","60","110","83"
"448","1","10.0","10","0","0","0","0","0","0"
"449","0","6.0","5","63","76","70","23","90","291"
"450","0","9.67","7.5","59","65","62","53","145","174"
"451","1","0.0","7","0","0","0","0","0","0"
"452","0","7.0","4.67","38","81","60","25","68","172"
"453","1","8.0","7","0","0","0","0","0","0"
"454","0","9.0","10","60","80","70","0","0","0"
"455","1","0.0","0","0","0","0","0","0","0"
"456","0","2.0","4","92","92","92","0","0","0"
"457","0","7.67","6.33","78","94","86","40","110","175"
"458","1","8.0","9","0","0","0","0","0","0"
"459","0","8.0","7.67","53","74","63","48","133","177"
"460","0","9.0","0","0","0","0","0","0","0"
"461","0","9.0","9","0","0","0","0","0","0"
"462","0","9.0","8","55","69","62","0","0","0"
"463","0","8.0","9","60","70","65","40","100","150"
